"_id","name","shortname","code","tfl_id","type","colour","status","status_desc","status_code","status_class"
0,"Bakerloo","bakerloo","B",1,0,996633,,,,
1,"Central","central","C",2,0,"CC3333",,,,
2,"Circle","circle","H",7,0,"FFCC00",,,,
3,"District","district","D",9,0,006633,,,,
4,"Hammersmith & City","hammersmith","H",8,0,"CC9999",,,,
5,"Jubilee","jubilee","J",4,0,"868F98",,,,
6,"Metropolitan","metropolitan","M",11,0,660066,,,,
7,"Northern","northern","N",5,0,000000,,,,
8,"Piccadilly","piccadilly","P",6,0,000099,,,,
9,"Victoria","victoria","V",3,0,"0099CC",,,,
10,"Waterloo & City","waterlooandcity","W",12,0,"66CCCC",,,,
11,"DLR","dlr",,81,1,009999,,,,
12,"Overground","overground",,82,2,"FF6600",,,,
