name,lat,lng
Acton Town,51.5025,-0.278126
Acton Central,51.50883531,-0.263033174
Acton Central,51.50856013,-0.262879534
Aldgate,51.51394,-0.07537
Aldgate East,51.51514,-0.07178
Alperton,51.54097,-0.30061
Amersham,51.67435,-0.60732
Angel,51.53253,-0.10579
Archway,51.56536,-0.13474
Arnos Grove,51.61625,-0.13355
Arsenal,51.55847,-0.10561
Baker Street,51.52265,-0.15704
Baker Street,51.522236,-0.15708
Balham,51.44344113,-0.152945844
Bank,51.5134047,-0.08905843
Barbican,51.520865,-0.097758
Barking,51.54079,0.08018
Barkingside,51.58543,0.08854
Barons Court,51.490281,-0.21434
Bayswater,51.51224,-0.187569
Becontree,51.54029,0.1262
Belsize Park,51.55036,-0.16465
Bermondsey,51.49813,-0.0635
Bethnal Green,51.52718,-0.05504
Blackfriars,51.5114403,-0.1041905
Blackhorse Road,51.58698,-0.04104
Bond Street,51.51461,-0.14897
Borough,51.50095,-0.09446
Boston Manor,51.495371,-0.325573
Bounds Green,51.607,-0.12418
Bow Road,51.52709,-0.02482
Brent Cross,51.57693,-0.21414
Brixton,51.46239,-0.115421
Bromley-by-Bow,51.52466,-0.01282
Brondesbury,51.54505,-0.20297
Brondesbury Park,51.5406,-0.21093
Buckhurst Hill,51.62611,0.04705
Burnt Oak,51.603,-0.26427
Caledonian Road,51.5485,-0.11802
Caledonian Road & Barnesbury,51.54326,-0.11544
Camden Road,51.54192,-0.13981
Camden Town,51.5393,-0.14316
Canada Water,51.49787,-0.04967
Canary Wharf,51.50362,-0.01987
Canning Town,51.514,0.0083
Cannon Street,51.51141,-0.09047
Canonbury,51.54822,-0.09632
Canons Park,51.6081,-0.29487
Chalfont & Latimer,51.66822,-0.56053
Chalk Farm,51.5439,-0.15384
Chancery Lane,51.51836,-0.11115
Charing Cross,51.507108,-0.122963
Chesham,51.70522733,-0.610986426
Chigwell,51.61795,0.07511
Chiswick Park,51.49466,-0.26866
Chorleywood,51.65429872,-0.518373353
City Thameslink,51.51416,-0.10335
Clapham Common,51.46156,-0.13802
Clapham North,51.46522,-0.1295
Clapham South,51.45292257,-0.147562148
Cockfosters,51.65117,-0.14811
Colindale,51.59556,-0.24996
Colliers Wood,51.41823649,-0.17800983
Covent Garden,51.51308,-0.12427
Croxley,51.64733268,-0.441479115
Dagenham East,51.54396,0.16439
Dagenham Heathway,51.54173,0.14543
Dalston Kingsland,51.54832,-0.07879
Debden,51.64535,0.08364
Dollis Hill,51.5525,-0.23884
Ealing Broadway,51.51482,-0.30118
Ealing Common,51.50997,-0.28825
Earls Court,51.491521,-0.193906
East Acton,51.51753,-0.24827
East Finchley,51.5872974705,-0.1649563231
East Ham,51.53931,0.0526
East Putney,51.459015,-0.211138
Eastcote,51.57676,-0.39629
Edgware,51.61385,-0.27515
Edgware Road (Bakerloo),51.51956,-0.169068
Edgware Road (Cir),51.520195,-0.166986
Elephant & Castle,51.49467,-0.10047
Elm Park,51.54969,0.19779
Embankment,51.50717,-0.12195
Epping,51.69365,0.11495
Euston,51.52774,-0.13303
Euston Square,51.52584,-0.1357
Fairlop,51.59634,0.09125
Farringdon,51.520362948,-0.105126482
Farringdon,51.520086,-0.104789
Finchley Central,51.60102,-0.1924
Finchley Road,51.546701,-0.179867
Finchley Road and Frognal,51.54994,-0.18412
Finsbury Park,51.56498,-0.10543
Fulham Broadway,51.48033,-0.19488
Gants Hill,51.57649,0.06637
Gloucester Road,51.49408266,-0.17295341
Golders Green,51.57249,-0.1941
Goldhawk Road,51.501248,-0.226776
Goodge Street,51.5206,-0.13441
Gospel Oak,51.55597,-0.15228
Grange Hill,51.61326,0.09258
Great Portland Street,51.52391,-0.14397
Greenford,51.542346,-0.345903
Gunnersbury,51.49126844,-0.275554312
Green Park,51.50674,-0.14276
Hackney Central,51.54689,-0.05784
Hackney Wick,51.54348,-0.02474
Hainault,51.60288,0.09332
Hammersmith (District and Picc),51.492328,-0.222825
Hammersmith (Circle and H&C),51.494190748,-0.225964953
Hampstead,51.55645,-0.17851
Hampstead Heath,51.55533,-0.16656
Hanger Lane,51.53,-0.2929
Harlesden,51.53628278,-0.257622488
Harrow & Wealdstone,51.59205973,-0.334725352
Harrow on the Hill,51.579335,-0.337052
Hatton Cross,51.466988,-0.423035
Heathrow Terminals 123,51.4712899,-0.4527438
Heathrow Terminal 4,51.4594777,-0.44689658
Heathrow Terminal 5,51.47267,-0.48915
Hendon Central,51.58346,-0.22653
High Barnet,51.6506519032,-0.194138166
High Street Kensington,51.5003459144,-0.192351664
Highbury & Islington,51.54502,-0.10752
Highgate,51.57722,-0.14553
Hillingdon,51.55364,-0.45062
Holborn,51.51711,-0.12055
Holland Park,51.50722,-0.20553
Holloway Road,51.5529,-0.11278
Homerton,51.5471,-0.04323
Hornchurch,51.55387,0.21797
Hounslow Central,51.47129,-0.365853
Hounslow East,51.47354,-0.356
Hounslow West,51.473689,-0.386471
Hyde Park Corner,51.50313,-0.15278
Ickenham,51.56147,-0.44257
Kennington,51.48823,-0.10587
Kensal Green,51.53060655,-0.224253545
Kensal Rise,51.53387,-0.22145
Olympia,51.49675,-0.20931
Kentish Town,51.55046,-0.14067
Kentish Town West,51.54776,-0.14708
Kenton,51.58173809,-0.316870809
Kew Gardens,51.47725641,-0.284980014
Kilburn,51.5471715,-0.205002
Kilburn Park,51.53495818,-0.193963023
King's Cross St. Pancras,51.53057,-0.12399
King's Cross Thameslink,51.5308,-0.12044
Kingsbury,51.58422,-0.2788
Knightsbridge,51.50169,-0.1603
Ladbroke Grove,51.5173,-0.21114
Lambeth North,51.49894,-0.11216
Lancaster Gate,51.512083,-0.175067
Latimer Road,51.513125,-0.218428
Leicester Square,51.51148,-0.12849
Leyton,51.556483,-0.005669
Leytonstone,51.56828,0.00739
Liverpool Street,51.517675,-0.082458
London Bridge,51.505353,-0.084826
Loughton,51.6417,0.05583
Maida Vale,51.52989409,-0.185888819
Manor House,51.57038,-0.09601
Mansion House,51.51256,-0.09397
Marble Arch,51.513597,-0.15869195
Marylebone,51.52266,-0.162996
Mile End,51.525306,-0.033471
Mill Hill East,51.60892,-0.20965
Monument,51.510165,-0.085991
Moor Park,51.62970512,-0.432070848
Moorgate,51.51817,-0.08859
Morden,51.40222413,-0.194599126
Mornington Crescent,51.53427,-0.13901
Neasden,51.55427,-0.25042
New Cross,51.477363,-0.0338817
New Cross Gate,51.47585,-0.04049
Newbury Park,51.57565,0.08927
North Acton,51.5237,-0.26019
North Ealing,51.51807,-0.28838
North Greenwich,51.50056,0.0036
North Harrow,51.58503612,-0.362595264
North Wembley,51.56258091,-0.304072648
Northfields,51.499856,-0.313188
Northolt,51.548054,-0.368257
Northolt,51.548467,-0.36968
Northwick Park,51.57850117,-0.317857023
Northwood,51.61098984,-0.423584422
Northwood Hills,51.60043795,-0.408812575
Notting Hill Gate,51.509028,-0.1962847
Oakwood,51.64739,-0.13192
Old Street,51.52618,-0.08751
Osterley,51.481569,-0.35196
Oval,51.48214,-0.11284
Oxford Circus,51.51517,-0.14119
Paddington,51.5151846554,-0.1755388079
Paddington (H&C Line),51.519096707,-0.176968859
Park Royal,51.52671,-0.28417
Parsons Green,51.47488,-0.20205
Perivale,51.536673,-0.32391
Piccadilly Circus,51.51022,-0.13392
Pimlico,51.489081,-0.133037
Pinner,51.59270271,-0.380539158
Plaistow,51.53122,0.01659
Preston Road,51.57229051,-0.295813875
Putney Bridge,51.46868,-0.2088141
Queen's Park,51.534179,-0.205257721
Queensbury,51.59437,-0.28655
Queensway,51.510484,-0.18705
Ravenscourt Park,51.49419,-0.2356
Rayners Lane,51.57534,-0.3724
Redbridge,51.57618,0.04542
Regent's Park,51.52344,-0.14713
Richmond,51.46343247,-0.302033247
Richmond,51.4632474,-0.300618047
Rickmansworth,51.64027898,-0.473521454
Roding Valley,51.61691,0.04264
Rotherhithe,51.50089,-0.05211
Royal Oak,51.519383,-0.187785
Ruislip,51.57146,-0.42157
Ruislip Gardens,51.560711,-0.410587
Ruislip Manor,51.57349,-0.41185
Russell Square,51.523243,-0.124336
Seven Sisters,51.58318,-0.07495
Shadwell,51.51115,-0.05693
Shepherds Bush (Central Line),51.50474,-0.21881
Shepherd's Bush Market,51.506063,-0.226231
