name,code
Acton Central,1001002
Acton Town,1000002
Aldgate,1000003
Aldgate East,1000004
All Saints,1002003
Alperton,1000005
Amersham,1000006
Anerley,1001007
Angel,1000007
Archway,1000008
Arnos Grove,1000009
Arsenal,1000010
Baker Street,1000011
Balham,1000012
Bank,1000013
Barbican,1000014
Barking,1000015
Barkingside,1000016
Barons Court,1000017
Bayswater,1000018
Beckton,1002011
Beckton Park,1002012
Becontree,1000019
Belsize Park,1000020
Bermondsey,1000021
Bethnal Green,1000022
Blackfriars,1000023
Blackhorse Road,1000024
Blackwall,1002018
Bond Street,1000025
Borough,1000026
Boston Manor,1000027
Bounds Green,1000028
Bow Church,1002019
Bow Road,1000029
Brent Cross,1000030
Brixton,1000031
Brockley,1001035
Bromley-by-Bow,1000032
Brondesbury,1001038
Brondesbury Park,1001039
Buckhurst Hill,1000033
Burnt Oak,1000034
Bushey,1001041
Caledonian Road,1000035
Caledonian Road & Barnsbury,1001043
Camden Road,1001045
Camden Town,1000036
Canada Water,1000037
Canary Wharf,1000038
Canning Town,1000039
Cannon Street,1000040
Canonbury,1001048
Canons Park,1000041
Carpenders Park,1001049
Chalfont & Latimer,1000042
Chalk Farm,1000043
Chancery Lane,1000044
Charing Cross,1000045
Chesham,1000046
Chigwell,1000047
Chiswick Park,1000048
Chorleywood,1000049
Clapham Common,1000050
Clapham Junction,1001069
Clapham North,1000051
Clapham South,1000052
Cockfosters,1000053
Colindale,1000054
Colliers Wood,1000055
Covent Garden,1000056
Crossharbour,1002025
Crouch Hill,1001077
Croxley,1000057
Crystal Palace,1001078
Custom House,1001079
Cutty Sark,1002027
Cyprus,1002028
Dagenham East,1000058
Dagenham Heathway,1000059
Dalston Junction,1001568
Dalston Kingsland,1001081
Debden,1000060
Deptford Bridge,1002029
Devons Road,1002030
Dollis Hill,1000061
Ealing Broadway,1000062
Ealing Common,1000063
Earl's Court,1000064
East Acton,1000065
Eastcote,1000066
East Finchley,1000067
East Ham,1000068
East India,1002033
East Putney,1000069
Edgware,1000070
Edgware Road Bakerloo,1000072
Edgware Road (Bakerloo),1000071
Edgware Road (Cir),1000072
Elephant & Castle,1000073
Elm Park,1000074
Elverson Road,1002035
Embankment,1000075
Epping,1000076
Euston,1000077
Euston Square,1000078
Fairlop,1000079
Farringdon,1000080
Finchley Central,1000081
Finchley Road,1000082
Finchley Road & Frognal,1001109
Finsbury Park,1000083
Forest Hill,1001112
Fulham Broadway,1000084
Gallions Reach,1002039
Gants Hill,1000085
Gloucester Road,1000086
Golders Green,1000087
Goldhawk Road,1000088
Goodge Street,1000089
Gospel Oak,1001119
Grange Hill,1000090
Great Portland Street,1000091
Greenford,1000092
Green Park,1000093
Greenwich,1001123
Gunnersbury,1000094
Hackney Central,1001127
Hackney Wick,1001129
Haggerston,1001569
Hainault,1000095
Hammersmith (Circle and H&C),1000097
Hammersmith (District and Picc),1000096
Hampstead,1000098
Hampstead Heath,1001131
Hanger Lane,1000099
Harlesden,1000100
